1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z,24_x,24_y,24_z,25_x,25_y,25_z,26_x,26_y,26_z
-92.9989,-157.839,2017.6,-51.1417,-318.377,2028.77,-14.664,-446.029,2035.5,32.0897,-642.364,2050.06,47.3045,-606.161,2046.97,156.918,-581.683,1975.3,225.539,-333.433,1975.52,68.6083,-299.908,1830.68,6.06637,-612.791,2069.85,-112.653,-637.507,2087.71,-282.765,-453.222,2010.43,-190.018,-504.288,1818.83,-26.4207,-144.026,1966.62,13.6055,226.888,1973.21,213.214,513.613,2044.65,164.528,681.218,2039.62,-153.037,-170.293,2063.57,-264.82,183.898,2032.34,-224.227,522.322,2149.25,-326.365,620.152,2073.06,34.4105,-715.854,2030.31,-23.7912,-820.612,1940.48,23.3881,-835.631,1956.91,117.495,-785.19,2007.51,-34.5077,-832.459,1985.98,-37.5247,-773.259,2092.75
-89.0484,-160.429,2015.77,-46.2336,-321.513,2033.72,-11.1765,-450.568,2042.51,35.6604,-648.5,2058.24,51.0435,-611.944,2056.18,167.579,-585.855,1994.68,250.921,-339.926,1995.01,101.387,-305.758,1840.18,8.34086,-618.89,2077.01,-112.006,-641.411,2093.75,-239.813,-465.347,1943.18,-141.551,-486.509,1746.7,-19.5794,-147.36,1967.35,17.8404,226.952,1967.88,218.919,513.654,2049.23,152.603,670.228,2003.68,-151.693,-172.211,2059.43,-256.664,187.084,2026.36,-220.996,527.077,2149.3,-323.659,620.098,2065.4,39.2326,-722.442,2037.95,-10.8392,-826.849,1941.04,36.7042,-840.475,1958.94,127.024,-787.474,2015.71,-22.8489,-841.126,1985.94,-32.8864,-786.063,2095.6
-85.8083,-159.416,2015.18,-43.9736,-320.786,2037.59,-10.1838,-450.464,2048.72,35.9814,-649.325,2063.59,51.5015,-612.632,2062.84,172.333,-588.792,2008.1,250.868,-340.583,2018.34,119.859,-306.234,1846.66,7.71142,-619.89,2081.56,-113.709,-644.467,2086.69,-237.892,-457.708,1944.66,-119.808,-488.818,1759.94,-13.8046,-147.04,1969.88,20.7776,228.774,1964.46,221.786,515.173,2052.13,154.54,668.112,1994.82,-150.738,-170.574,2056.04,-253.098,190,2015.25,-220.808,528.156,2147.45,-322.307,621.984,2061.99,40.5177,-723.189,2042.26,-1.09505,-825.524,1938.59,45.7194,-838.779,1959.02,131.349,-785.682,2023.32,-15.5618,-841.685,1982.28,-33.7355,-790.579,2093.26
-82.651,-156.294,2011.31,-41.6149,-316.898,2038.97,-10.1727,-447.002,2050.58,34.3228,-646.339,2061.04,50.016,-609.768,2062.17,174.594,-588.701,2015.59,259.411,-343.334,2034.62,139.298,-308.304,1855.52,5.43579,-617.352,2078.66,-113.72,-651.041,2075,-243.142,-457.797,1947.5,-106.634,-490.483,1776.48,-8.56085,-144.57,1969.47,19.0193,231.236,1954.61,221.257,513.643,2050.71,153.644,664.116,1988.03,-149.462,-166.864,2049.04,-247.923,193.992,2004.39,-223.178,527.745,2148.02,-320.91,621.42,2058.39,39.4668,-719.44,2037.57,9.71109,-828.619,1937.04,54.9742,-839.12,1961.96,133.264,-779.728,2029.81,-7.87511,-842.8,1980.23,-36.7409,-786.313,2086.1
-78.6257,-155.67,2005.01,-39.0872,-315.295,2044.19,-9.87494,-446.245,2060.42,35.8129,-646.687,2067.96,51.1248,-609.849,2071.47,178.754,-585.66,2033.07,261.903,-338.654,2058.39,166.576,-305.578,1863.15,5.22249,-618.316,2084.33,-113.217,-653.819,2068.82,-228.585,-455.513,1932.63,-77.3351,-482.614,1771.63,-0.651002,-145.114,1969.32,17.3328,232.278,1935.38,219.811,509.497,2051.92,163.711,663.558,1983.88,-148.94,-165.186,2037.19,-240.149,199.503,1989.5,-226.488,527.306,2152.5,-321.033,623.381,2060.27,43.4483,-719.383,2042.5,18.367,-824.021,1934.77,63.7117,-834.791,1960.08,139.554,-776.976,2033.13,0.294568,-841.198,1976.98,-32.2042,-791.32,2085.93
-76.1624,-153.086,1999.53,-36.5871,-312.104,2039.56,-7.26798,-442.718,2055.89,37.5525,-642.887,2063.8,52.8349,-606.187,2067.85,182.344,-584.889,2035.55,259.732,-337.636,2069.43,178.372,-298.971,1869.49,6.68396,-614.556,2079.43,-110.585,-650.031,2058.19,-220.288,-450.538,1920.18,-65.3134,-475.925,1763.15,2.27705,-142.14,1965.47,14.2015,234.247,1927.1,216.454,508.74,2047.98,165.637,671.238,1999.12,-146.896,-162.954,2030.25,-238.846,200.436,1980.59,-227.001,524.636,2149.08,-320.213,625.194,2060.99,45.6417,-715.346,2038.3,24.9748,-826.77,1937.1,69.2378,-835.613,1964.73,141.943,-772.874,2036.46,5.36828,-841.161,1979.55,-31.3168,-784.436,2083.39
-76.1427,-153.084,1999.5,-36.5701,-312.092,2039.53,-7.25215,-442.699,2055.87,37.5799,-642.855,2063.78,52.8575,-606.155,2067.84,182.375,-584.851,2035.6,259.747,-337.618,2069.57,178.539,-298.912,1869.58,6.706,-614.528,2079.41,-110.548,-649.991,2058.09,-220.086,-450.464,1920.03,-64.994,-475.774,1763.12,2.29385,-142.14,1965.43,14.2435,234.227,1927.05,216.56,508.65,2047.93,165.851,671.101,1998.83,-146.873,-162.95,2030.21,-238.823,200.414,1980.49,-226.989,524.65,2148.87,-320.179,625.136,2060.7,45.6822,-715.309,2038.29,25.1834,-826.711,1937.04,69.4027,-835.554,1964.73,141.987,-772.824,2036.59,5.51401,-841.111,1979.45,-31.3349,-784.413,2083.24
-76.1426,-153.084,1999.49,-36.57,-312.092,2039.53,-7.25206,-442.699,2055.86,37.58,-642.855,2063.78,52.8575,-606.155,2067.84,182.375,-584.85,2035.6,259.747,-337.618,2069.58,178.541,-298.909,1869.59,6.70595,-614.528,2079.41,-110.548,-649.99,2058.09,-220.08,-450.461,1920.02,-64.9848,-475.768,1763.12,2.29397,-142.139,1965.43,14.2433,234.227,1927.05,216.559,508.65,2047.93,165.847,671.098,1998.82,-146.873,-162.95,2030.21,-238.823,200.414,1980.49,-226.989,524.65,2148.87,-320.18,625.136,2060.69,45.6824,-715.308,2038.29,25.1871,-826.708,1937.03,69.4055,-835.552,1964.73,141.988,-772.823,2036.59,5.51639,-841.109,1979.44,-31.3358,-784.413,2083.24
-76.1417,-153.071,1999.43,-36.5687,-312.078,2039.44,-7.26047,-442.689,2055.74,37.56,-642.845,2063.54,52.8384,-606.15,2067.62,182.349,-584.829,2035.39,259.713,-337.613,2069.44,178.477,-298.837,1869.48,6.68654,-614.527,2079.18,-110.56,-649.952,2057.78,-219.944,-450.348,1919.72,-64.7938,-475.464,1762.85,2.29407,-142.121,1965.37,14.2407,234.24,1927.04,216.553,508.623,2047.99,165.806,671.026,1998.78,-146.872,-162.942,2030.13,-238.831,200.411,1980.44,-227.027,524.63,2148.83,-320.212,625.112,2060.65,45.6615,-715.282,2038.01,25.2544,-826.469,1936.51,69.4402,-835.377,1964.23,141.955,-772.81,2036.29,5.53628,-840.952,1978.87,-31.4153,-784.462,2082.73
-77.2284,-151.805,1993.97,-37.6067,-310.238,2033.86,-8.17816,-440.437,2049.51,35.7332,-640.142,2056.01,51.0182,-603.66,2060.65,179.819,-581.753,2027.85,259.737,-335.947,2059.47,176.178,-294.324,1861.86,4.8316,-611.965,2071.43,-112.273,-647.13,2051.26,-220.535,-448.863,1912.09,-65.6719,-466.09,1754.92,1.45508,-140.323,1961.42,12.6571,234.894,1924.07,215.584,505.059,2049.8,167.765,666.395,1996.44,-148.182,-162.157,2023.32,-238.747,201.166,1980.94,-230.25,523.265,2150.96,-320.125,626.476,2063.5,43.9419,-712.118,2029.99,29.29,-820.166,1924.93,72.3793,-829.196,1953.97,140.831,-767.919,2030.32,8.27593,-836.149,1965.91,-33.3938,-783.522,2069.53
