1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z,24_x,24_y,24_z,25_x,25_y,25_z,26_x,26_y,26_z
-12.7203,-190.326,1915.98,10.9208,-354.394,1945.55,33.0583,-485.493,1966.59,78.8384,-684.244,1986.29,93.7924,-647.337,1988.6,217.77,-613.609,1947.43,305,-367.922,1940.27,178.469,-334.257,1764.85,47.5641,-655.369,1999.74,-73.9908,-677.132,1987.24,-229.653,-468.779,1932.66,-141.828,-442.029,1730.89,69.6978,-182.696,1892.42,84.8506,194.701,1882.34,209.645,509.505,2007.69,187.666,665.951,1928.29,-87.0409,-197.204,1937.22,-158.229,173.45,1937.97,-202.389,512.799,2064.61,-238.59,638.053,1967.33,87.8322,-757.798,1965.01,92.4021,-860.37,1853.4,135.329,-865.088,1883.82,191.725,-799.569,1966.54,72.3641,-881.627,1892.52,19.8854,-841.672,1997.12
-11.3709,-189.889,1916.27,10.2888,-354.073,1947.22,31.119,-485.158,1970.1,75.1463,-684.156,1992.34,89.9057,-647.253,1995.98,216.303,-614.736,1961.49,313.915,-373.027,1973.65,207.561,-329.441,1787.21,42.9222,-655.299,2003.47,-75.7743,-679.4,1976.02,-217.358,-465.037,1907.45,-115.754,-443.364,1711.49,72.5372,-182.159,1898.55,89.0503,195.298,1885.36,208.312,512.915,2009.58,187.8,666.699,1924.57,-87.0351,-196.856,1932.25,-156.459,174.332,1928.69,-204.34,510.04,2063.98,-236.285,638.075,1968.69,85.7252,-757.657,1971.45,101.859,-847.733,1850.41,143.054,-853.898,1882.95,191.227,-795.182,1975.49,80.4811,-873.78,1885.79,19.9009,-847.145,1990.33
-8.98689,-187.898,1914.97,11.1635,-351.286,1946.73,30.6855,-481.939,1969.42,74.1059,-680.016,1991.98,88.4967,-643.278,1996.54,216.512,-614.784,1967.42,319.98,-377.858,1992.01,223.009,-325.646,1803.92,41.4783,-651.479,2001.83,-74.908,-678.59,1970.3,-209.851,-467.672,1884.72,-101.791,-444.203,1693.69,75.1902,-180.257,1900.87,93.7187,195.271,1887.4,207.714,513.631,2009.6,189.107,665.387,1922.31,-84.8935,-194.785,1927.68,-153.477,174.724,1928.43,-205.133,508.852,2061.49,-233.91,636.573,1966.11,85.7952,-752.968,1971.13,109.217,-846.147,1854.63,148.465,-850.788,1889.34,190.785,-788.945,1981.96,86.3314,-871.198,1889.45,20.2566,-842.148,1989.21
-5.98295,-185.629,1914.08,12.2052,-348.968,1945.28,29.9954,-479.89,1965.97,70.4042,-678.287,1987.11,85.0683,-641.866,1992.49,215.475,-615.333,1976.46,317.421,-379.527,2010.27,231.796,-328.054,1817.09,37.9427,-649.547,1996.45,-77.114,-674.589,1959.84,-204.269,-465.237,1861.31,-83.3619,-443.523,1678.52,78.3956,-178.487,1902.29,98.2615,196.195,1890.99,205.073,516.456,2012.33,192.326,663.611,1917.25,-82.0712,-192.067,1924.71,-150.063,176.687,1926.34,-207.359,508.454,2060.76,-231.95,637.885,1967.15,81.7478,-750.95,1965.71,113.3,-852.024,1858.51,150.93,-852.553,1895.1,186.926,-782.296,1983.97,89.6441,-874.936,1894.14,18.317,-840.381,1988.01
-5.86321,-186.099,1917.54,11.6726,-349.606,1950.04,29.0731,-480.718,1971.62,69.4351,-679.583,1992.48,83.8685,-643.095,1998.58,215.781,-619.021,1990.81,312.575,-378.649,2007.2,238.072,-327.325,1808.94,36.5695,-650.934,2001.09,-76.3328,-674.294,1956.64,-202.585,-464.655,1856.12,-73.7571,-445.108,1678.02,79.0385,-178.743,1908.74,100.033,196.609,1896.18,204.651,518.513,2017.26,192.778,663.315,1917.89,-82.4232,-192.729,1925.47,-149.076,177.038,1921.94,-207.134,507.889,2060.24,-233.491,637.326,1966.54,81.6211,-752.201,1970.82,117.798,-852.284,1863.73,153.376,-853.937,1902.42,185.37,-785.454,1994.48,91.8073,-875.432,1897.66,15.6562,-841.19,1988.13
-6.06836,-185.856,1921.5,10.5479,-349.453,1954.75,27.3005,-480.789,1976.16,67.3947,-680.027,1995.57,81.5044,-643.576,2002.77,213.822,-620.086,2006.05,308.259,-378.087,2012.82,237.962,-322.693,1813.92,34.1258,-651.554,2003.37,-75.5045,-671.288,1949.65,-192.138,-465.285,1831.05,-43.4403,-447.078,1668.76,79.1399,-178.427,1915.47,102.202,197.081,1901.94,204.595,521.609,2018.73,191.994,664.98,1917.14,-82.9048,-192.552,1926.94,-147.672,177.779,1918.21,-206.645,507.974,2058.46,-234.238,640.161,1968.82,80.5887,-752.346,1973.29,124.074,-848.4,1865.05,157.671,-850.705,1905.5,183.662,-784.638,2001.27,96.7804,-873.076,1896.89,15.4062,-843.005,1984.37
-5.57143,-185.122,1924.78,8.83746,-348.519,1960.12,23.9655,-480.189,1980.83,62.6231,-679.932,1998.24,76.5349,-643.664,2006.68,208.409,-619.155,2015.92,305.341,-378.054,2021.08,244.144,-323.376,1818.97,29.1398,-651.474,2005.17,-77.1702,-670.643,1944.93,-178.153,-464.118,1813.46,-19.1817,-445.898,1661.16,79.8652,-178.133,1922.26,105.055,197.142,1904.77,204.232,523.25,2020.12,192.875,662.564,1912.84,-82.6136,-191.422,1927.05,-144.818,179.292,1914.06,-207.239,507.123,2058.48,-232.945,638.88,1967.59,76.5139,-751.897,1975.21,130.497,-848.165,1871.96,161.016,-849.031,1914.85,178.019,-781.024,2011.3,101.536,-873.157,1902.04,13.0518,-844.151,1982.75
0.939254,-182.63,1924.47,7.47869,-346.246,1961.02,17.3099,-478.515,1980.98,54.1601,-678.537,1998.83,66.8395,-642.451,2009.63,197.257,-614.751,2026.86,264.511,-367.949,2072.7,254.13,-326.442,1858.82,20.0042,-650.247,2002.24,-81.2636,-669.999,1934.05,-138.476,-463.195,1778.89,18.792,-442.725,1625.15,86.2271,-177.588,1931.78,112.073,196.821,1901.98,196.991,524.635,2023.57,200.137,660.959,1912.01,-75.9686,-187.174,1917.87,-136.827,183.933,1920.94,-212.87,512.051,2057.87,-228.85,647.264,1969.92,70.9474,-749.993,1976.17,136.031,-843.549,1876.94,163.96,-842.613,1921.54,171.548,-773.459,2018.36,106.731,-869.961,1905.42,12.2099,-845.505,1980.58
1.82772,-184.061,1925.87,5.4695,-348.572,1964.22,13.566,-481.752,1985.27,48.3296,-683.398,2005.43,60.6181,-647.132,2017.08,187.803,-620.216,2054.88,254.909,-376.385,2122.23,261.956,-341.645,1905.45,13.9531,-654.708,2006.75,-81.9068,-667.426,1928.26,-122.975,-459.849,1765.98,43.3259,-440.402,1619.54,87.2415,-179.413,1937.71,113.962,196.874,1899.73,194.533,525.945,2028.23,202.515,659.613,1911.84,-75.1936,-188.25,1915.2,-135.322,185.664,1918.41,-216.534,515.078,2056.11,-223.614,644.782,1957.25,66.1848,-755.458,1983.67,139.64,-841.698,1882.05,165.782,-842.06,1928.16,166.481,-777.425,2029.34,110.045,-870.88,1908,10.8267,-853.928,1980.56
2.00417,-185.292,1926.94,5.3811,-350.284,1965.66,13.4445,-483.882,1986.87,48.7325,-685.913,2008.96,60.7441,-649.408,2020.61,184.915,-620.616,2067.51,245.57,-369.618,2115.03,252.809,-345.634,1896.09,14.1241,-657.251,2009.56,-78.7879,-668.593,1926.79,-115.236,-458.729,1764.93,58.132,-437.529,1626.03,87.5127,-180.478,1940,114.619,197.006,1901.92,193.513,528.1,2029.57,202.768,656.971,1907.14,-75.1026,-189.63,1915.16,-134.654,185.627,1916.87,-216.863,515.234,2056.65,-224.914,645.546,1957.79,67.2471,-758.279,1987.89,144.371,-843.151,1887.11,169.602,-843.387,1933.92,167.176,-779.101,2035.75,114.563,-873,1912.34,13.2467,-857.848,1983.07
