1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z,24_x,24_y,24_z,25_x,25_y,25_z,26_x,26_y,26_z
-202.189,-306.736,2333.39,-208.52,-489.574,2300.12,-201.593,-638.043,2302.87,-192.66,-861.654,2336.37,-168.148,-825.366,2331.6,-45.3301,-807.063,2249.25,3.50095,-523.959,2228.62,-225.213,-460.656,2182.56,-216.209,-822.241,2354.33,-341.052,-790.643,2401.28,-386.535,-501.254,2418.96,-609.686,-494.364,2318.54,-109.996,-305.734,2310.33,-100.331,103.723,2390.07,-97.7206,460.133,2568.9,-13.336,614.922,2484.96,-285.324,-307.635,2354.17,-353.027,92.4099,2258.72,-369.447,494.098,2231.18,-434.378,612.947,2113.14,-204.362,-944.315,2319.67,-257.253,-1031.99,2187.13,-211.832,-1058.99,2211.85,-116.49,-1028.64,2298.15,-281.447,-1051.98,2230.98,-304.322,-1007.57,2358.07
-202.696,-306.853,2335.46,-208.99,-489.776,2302.32,-202.22,-638.296,2305.22,-193.394,-862.006,2338.56,-168.866,-825.67,2334.11,-44.5471,-808.772,2253.66,-0.488441,-524.414,2239.21,-226.976,-459.559,2184.69,-217.205,-822.631,2356.3,-342.516,-791.056,2402.13,-386.914,-501.493,2421.16,-607.71,-489.9,2315.9,-110.338,-305.954,2312.94,-100.686,103.485,2393.44,-98.0826,461.049,2570.24,-13.4012,617.47,2489.55,-285.979,-307.66,2355.75,-353.344,92.824,2261.35,-369.781,494.629,2233.69,-436.952,619.211,2122.96,-204.803,-944.687,2321.62,-256.64,-1031.52,2188.05,-211.74,-1058.96,2213.28,-117.276,-1029.63,2300.95,-281.565,-1051.49,2231.53,-305.768,-1007.32,2358.51
-203.398,-307.602,2336.99,-210.263,-489.996,2301,-203.494,-638.528,2304.53,-195.77,-862.339,2337.72,-171.061,-826.111,2333.33,-44.951,-809.038,2255.71,-5.78118,-523.617,2249.55,-229.203,-453.276,2189.3,-219.423,-822.859,2355.46,-348.237,-786.944,2385.84,-385.778,-499.812,2434.37,-603.949,-485.272,2324.03,-110.852,-306.784,2315.19,-100.184,102.578,2396.31,-98.7885,461.986,2569.5,-12.9322,612.491,2479.28,-286.852,-308.336,2356.64,-352.543,92.9587,2264.21,-371.484,494.357,2231.7,-433.391,613.419,2112.13,-207.549,-944.966,2320.7,-263.416,-1027.47,2185.98,-216.628,-1054.66,2207.84,-118.861,-1026.4,2292.21,-285.681,-1049.99,2229.65,-304.928,-1012.02,2359.48
-204.914,-308.313,2342.22,-212.327,-490.822,2305.17,-205.727,-639.616,2309.41,-196.865,-863.856,2342.27,-172.292,-827.429,2337.94,-44.9542,-810.884,2261.69,-6.93437,-524.732,2257.93,-228.556,-449.898,2194.73,-220.762,-824.454,2360.1,-350.544,-786.166,2383.9,-386.643,-499.37,2438.4,-605.355,-481.391,2328.64,-112.133,-307.703,2320.65,-100.271,102.4,2401.82,-98.5612,463.575,2573.01,-9.14653,607.481,2475.03,-288.579,-308.859,2361.67,-353.383,92.7347,2266.49,-371.606,494.793,2232.55,-432.164,613.379,2111.33,-208.246,-946.663,2325.07,-265.377,-1029.69,2190.82,-217.935,-1056.52,2212,-119.047,-1027.37,2295.14,-286.832,-1052.52,2234.86,-304.589,-1014.81,2365.24
-205.137,-308.59,2344.87,-212.575,-491.326,2308.29,-206.149,-640.217,2313.02,-197.178,-864.681,2345.43,-172.618,-828.166,2341.47,-45.2264,-810.174,2265.43,-7.20337,-523.844,2259.99,-229.11,-450.01,2195.97,-221.378,-825.349,2363.1,-351.127,-786.744,2387.12,-398.646,-505.923,2461.48,-605.977,-481.953,2332.13,-112.184,-308.145,2323.75,-100.25,102.275,2404.82,-98.6553,463.927,2575.66,-10.4162,609.188,2478.34,-288.957,-308.988,2363.92,-353.516,92.6775,2267.59,-371.596,494.916,2232.35,-432.875,613.253,2111.06,-208.194,-947.525,2327.87,-265.421,-1029.87,2193.09,-217.757,-1056.65,2213.94,-118.665,-1027.65,2297.03,-286.647,-1053.14,2237.06,-304.166,-1016.45,2367.86
-206.258,-311.245,2344.71,-214.113,-493.906,2307.52,-207.441,-642.799,2313.35,-198.154,-867.023,2347.8,-173.623,-830.544,2343.21,-47.024,-807.761,2267.03,25.7484,-528.837,2246.47,-200.747,-454.522,2201.64,-222.146,-827.501,2365.38,-350.541,-783.68,2387.95,-394.569,-499.908,2453.08,-605.958,-472.6,2331.01,-113.393,-310.831,2323.06,-100.876,99.1726,2406.84,-98.7235,461.698,2576.13,-10.3503,612.888,2488.3,-289.998,-311.616,2364.24,-353.187,90.8653,2269.8,-372.086,492.96,2231.88,-432.44,612.375,2111.1,-209.398,-950.054,2331.15,-268.78,-1029.44,2195.46,-221.074,-1056.97,2215.27,-120.804,-1030.28,2297.79,-289.694,-1053.39,2239.24,-305.47,-1019.03,2370.95
-205.544,-310.982,2347.08,-213.351,-493.035,2308.99,-206.852,-641.641,2313.73,-198.475,-865.579,2346.92,-173.868,-829.212,2342.83,-47.0984,-804.704,2268.14,41.0981,-531.432,2241.89,-187.675,-466.495,2196.98,-222.526,-826.193,2364.41,-350.479,-783.121,2388.98,-395.801,-501.318,2458.65,-605.027,-472.971,2334.22,-112.82,-310.5,2325.76,-100.213,98.819,2408.21,-98.3667,461.523,2575,-8.83437,612.669,2489.26,-289.158,-311.414,2366.3,-353.812,89.5045,2270.35,-372.585,490.898,2234.6,-434.971,616.322,2121.8,-209.686,-948.303,2329.7,-265.786,-1029.82,2194.35,-219.283,-1057.53,2216.28,-121.531,-1030.43,2301.18,-288.42,-1052.35,2237.88,-307.839,-1014.72,2367.87
-205.919,-311.786,2348.88,-213.429,-493.99,2310.77,-206.744,-642.708,2315.21,-198.387,-866.784,2348.63,-173.764,-830.377,2344.63,-47.668,-804.893,2268.91,44.6231,-532.503,2245.34,-183.228,-465.923,2197.28,-222.565,-827.37,2365.99,-350.29,-784.264,2392.2,-397.61,-503.339,2464.94,-601.601,-463.984,2334.59,-113.131,-311.146,2327.53,-100.676,98.8611,2408.14,-97.6067,461.278,2576.24,-12.94,607.947,2478.32,-289.59,-312.36,2368.13,-353.469,89.1813,2272.91,-373.546,490.543,2234.22,-433.612,607.354,2111.17,-209.471,-949.589,2331.41,-267.962,-1031.72,2197.28,-220.813,-1059.13,2218.29,-121.388,-1031.31,2301.15,-289.562,-1054.32,2241.34,-306.485,-1016.57,2371.75
-206.411,-311.992,2349.1,-214.286,-493.382,2309.13,-207.778,-641.792,2313.76,-199.045,-865.237,2348.08,-174.555,-828.838,2344.22,-47.6733,-805.425,2269.76,44.7365,-533.428,2249.76,-178.684,-471.431,2181.54,-223.496,-825.921,2364.98,-351.304,-784.26,2391.62,-397.966,-504.273,2465.91,-598.932,-462.552,2332.59,-113.675,-311.461,2328.42,-100.231,97.6912,2408.69,-97.832,459.75,2575.6,-14.2542,613.784,2489.59,-290.036,-312.468,2367.75,-353.007,88.9387,2275.22,-372.142,489.804,2239.84,-429.039,613.003,2122.17,-209.636,-947.974,2331.11,-269.948,-1034.61,2201.13,-222.437,-1061.08,2222.2,-121.938,-1030.19,2302.18,-290.66,-1055.75,2246.19,-305.478,-1013.75,2375.26
-206.176,-311.853,2350.05,-213.811,-493.843,2311.54,-207.333,-642.454,2316.61,-200.497,-866.374,2350.42,-175.675,-830.092,2346.85,-50.1434,-805.193,2270.19,47.0864,-534.612,2247.96,-177.63,-471.977,2183.45,-224.828,-826.87,2367.26,-352.637,-784.421,2393.67,-396.903,-504.988,2473.02,-594.472,-462.755,2334.24,-113.274,-311.398,2329.49,-100.336,98.403,2409.66,-97.2193,461.15,2576.43,-13.0712,609.898,2481.49,-289.95,-312.26,2368.6,-352.327,89.9229,2276.33,-372.767,490.885,2236.43,-431.16,609.651,2114.62,-211.572,-949.103,2333.1,-261.177,-1031,2195.44,-215.804,-1058.67,2219.67,-122.214,-1031.39,2309.1,-285.901,-1053.38,2237.9,-311.517,-1015.34,2366.7
