1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z,24_x,24_y,24_z,25_x,25_y,25_z,26_x,26_y,26_z
-150.351,-313.745,2412.54,-156.461,-499.289,2395.01,-160.589,-648.284,2397.56,-161.4,-875.182,2400.5,-140.237,-839.363,2415.35,1.61818,-802.593,2386.2,56.7223,-519.141,2392.76,-95.8708,-381.01,2264.69,-192.944,-837.66,2406.91,-322.965,-804.768,2376.8,-414.044,-529.473,2427.08,-268.927,-390.807,2285.74,-57.4971,-318.775,2433.41,-5.58126,92.0147,2373.07,51.3405,480.634,2297.93,110.852,599.544,2154.2,-234.081,-309.206,2393.72,-245.712,98.2207,2486.32,-241.692,489.483,2587.28,-219.326,603.209,2449.36,-157.532,-954.578,2369.34,-165.209,-1015.64,2213.07,-128.187,-1047.68,2245.09,-63.9664,-1035.48,2360.34,-200.747,-1042.92,2243.36,-262.314,-1022,2363.88
-152.482,-313.489,2413.79,-158.192,-498.718,2394.29,-161.795,-647.639,2395.56,-162.484,-874.364,2399.55,-140.922,-838.502,2413.61,0.91891,-802.164,2384.38,51.6814,-518.048,2381.29,-110.279,-382.308,2262.84,-193.815,-836.84,2406.68,-326.167,-805.683,2387.2,-403.065,-523.159,2414.72,-283.063,-396.639,2242.17,-59.3496,-318.392,2433.09,-5.47463,91.4942,2370.38,50.3873,480.892,2300.11,113.123,608.656,2165.84,-236.464,-309.065,2396.39,-245.709,98.8944,2485.54,-240.111,489.191,2589,-222.959,604.452,2451.78,-159.504,-953.844,2368.67,-165.968,-1016.05,2212.92,-129.93,-1048.38,2245.69,-67.1757,-1036.22,2361.65,-202.324,-1042.49,2242.91,-265.178,-1019.61,2362.3
-152.898,-314.784,2417.26,-158.894,-501.145,2401.21,-162.196,-650.714,2403,-164.493,-878.445,2403.81,-142.483,-842.785,2418.29,-0.925645,-805.681,2385.54,43.135,-519.264,2378.02,-113.399,-384.032,2249.94,-195.638,-840.641,2411.73,-326.475,-803.617,2388.44,-402.842,-520.258,2421.89,-288.378,-396.063,2242.51,-59.2749,-319.435,2436.29,-5.09017,91.517,2368.89,49.8403,482.575,2297.24,112.135,604.816,2156.54,-237.322,-310.586,2400.11,-245.586,99.9552,2485.95,-239.414,491.575,2591.21,-222.572,600.524,2447.9,-162.288,-957.844,2371.66,-167.081,-1013.11,2212.49,-131.383,-1047.17,2244.31,-69.7274,-1040.49,2361.95,-204.034,-1040.88,2240.93,-268.531,-1023.16,2361
-153.978,-313.944,2418.78,-160.103,-500.281,2403.67,-163.253,-649.781,2404.63,-165.388,-877.383,2402.37,-143.355,-841.923,2417.23,-1.94722,-806.488,2382.42,44.4532,-520.867,2367.9,-122.441,-380.87,2259.82,-196.51,-839.733,2410.93,-327.75,-804.118,2388.14,-404.563,-521.708,2426.79,-296.875,-394.649,2245.41,-60.486,-318.591,2438.19,-4.77218,91.5034,2368.26,50.1154,482.542,2297.66,114.605,603.628,2157.1,-238.284,-309.749,2401.28,-245.961,100.701,2486.52,-238.973,492.515,2590.16,-223.085,603.218,2448.22,-163.261,-956.297,2369.16,-167.082,-1011.88,2210.17,-131.413,-1045.71,2242.22,-70.3675,-1038.54,2360.07,-204.034,-1039.73,2238.48,-269.129,-1022.04,2358.14
-153.892,-313.623,2419.14,-159.635,-499.928,2404.74,-162.333,-649.358,2405.59,-165.692,-876.769,2400.16,-143.432,-841.658,2415.43,-4.4124,-805.458,2372.97,42.8511,-520.12,2358.78,-131.21,-381.533,2260.97,-196.567,-839.099,2409.34,-327.945,-803.946,2387.09,-404.941,-522.949,2433.66,-306.048,-393.805,2248.95,-60.4239,-317.999,2438.48,-4.55971,91.6962,2367.67,50.1451,482.539,2297.08,114.766,611.896,2164.31,-238.176,-309.674,2401.7,-246.646,100.2,2488.51,-239.621,492.716,2588.59,-223.146,607.838,2450.4,-164.1,-955.179,2365.86,-164.916,-1005.52,2205.18,-130.255,-1040.67,2236.85,-71.7676,-1037.88,2356.09,-202.686,-1033.92,2231.75,-270.189,-1019.54,2350.44
-153.243,-313.328,2420.02,-159.851,-499.512,2406.66,-162.965,-648.798,2407.49,-165.551,-875.974,2400.61,-143.142,-840.908,2415.64,-4.2247,-806.857,2371.59,44.967,-522.628,2349.32,-130.386,-381.381,2258.42,-196.35,-838.523,2410.66,-328.104,-803.888,2390.71,-404.99,-523.021,2436.54,-305.254,-388.83,2256.23,-59.6833,-317.967,2438.4,-4.93873,91.6266,2368.39,50.1134,481.597,2295.35,113.823,604.4,2156.32,-237.609,-309.141,2403.44,-245.506,101.319,2485.58,-238.791,493.606,2585.09,-217.027,613.451,2451.95,-164.354,-954.076,2365.79,-164.913,-1004.45,2205.28,-129.133,-1038.61,2236.69,-69.9792,-1034.18,2355.42,-201.687,-1033.82,2232.09,-268.677,-1021.22,2351.13
-151.505,-312.633,2419.6,-158.486,-498.502,2408.54,-161.406,-647.431,2407.77,-165.155,-873.787,2395.02,-142.764,-839.333,2411.14,-4.35984,-808.935,2364.12,46.6443,-525.861,2340.35,-137.261,-382.526,2274.68,-195.776,-836.522,2405.69,-327.745,-803.122,2387.42,-406.001,-524.928,2441.86,-306.265,-383.887,2267.69,-58.5448,-317.322,2439.74,-4.62541,91.4002,2370.05,50.3249,480.172,2295.85,113.616,601.988,2156.43,-235.331,-308.401,2401.45,-244.921,100.497,2486.02,-239.605,492.116,2584.26,-216.54,607.581,2448.1,-164.03,-950.783,2358.29,-160.51,-1002.36,2198.63,-126.051,-1036.51,2231.25,-70.3963,-1031.66,2351.28,-198.221,-1031.09,2224.55,-268.279,-1016.91,2341.24
-153.874,-313.067,2423.56,-160.095,-498.31,2409.19,-161.99,-646.851,2404.7,-163.165,-872.402,2387.24,-140.654,-838.053,2403.14,-1.21035,-808.193,2360.09,30.4935,-523.883,2327.22,-150.95,-386.394,2246.06,-193.758,-835.904,2399.93,-325.64,-802.184,2384.14,-411.522,-531.134,2456.54,-317.557,-403.262,2270.21,-60.5048,-317.524,2440.59,-5.20342,90.0287,2370.84,51.0883,477.683,2296.7,118.214,603.416,2163.31,-238.068,-309.045,2408.2,-245.327,100.986,2482.16,-239.797,490.507,2584.86,-218.381,616.034,2458.2,-162.505,-948.406,2348.92,-163.159,-1011,2193.62,-125.745,-1040.96,2226.85,-65.4976,-1024.86,2343.3,-198.15,-1039.48,2223.13,-263.669,-1020.3,2341.36
-154.635,-312.898,2431.57,-159.498,-498.507,2412.57,-160.154,-647.563,2405.81,-160.222,-873.791,2385.6,-137.222,-839.296,2400.96,-0.475883,-805.061,2351.02,20.8577,-518.469,2319.58,-172.822,-385.272,2259.39,-190.644,-837.574,2400.14,-321.817,-800.674,2381.15,-412.219,-534.18,2468.21,-319.179,-405.311,2280.83,-60.139,-316.653,2444.06,-5.15206,92.1638,2371.58,50.2623,481.253,2295.78,113.565,598.951,2152.42,-239.845,-309.509,2420.31,-244.451,105.006,2476.75,-238.059,493.689,2588.47,-218.147,615.346,2456.87,-160.632,-949.63,2346.21,-161.315,-1006.21,2187.91,-125.058,-1038.7,2220.45,-65.4995,-1029,2338.55,-197.625,-1034.88,2216.01,-264.198,-1018.36,2334.68
-154.874,-310.877,2436,-159.226,-495.475,2414.64,-158.966,-643.719,2404.35,-157.608,-868.218,2376.69,-134.243,-834.081,2391.78,3.34941,-806.332,2341.96,23.161,-520.44,2314.19,-174.187,-395.003,2253.23,-187.419,-833.059,2394.11,-318.362,-795.845,2378.51,-417.424,-542.072,2487.36,-316.542,-418.724,2301.64,-60.2411,-314.006,2443.76,-7.09567,93.6072,2373.01,46.6561,481.5,2298.5,113.189,598.571,2157.2,-240.208,-308.052,2429,-244.685,105.943,2475.81,-238.763,492.865,2587.7,-218.556,619.847,2462.33,-159.443,-942.414,2335.03,-164.048,-1004.75,2179.72,-124.796,-1033.86,2211.54,-60.9125,-1016.51,2325.84,-197.292,-1034.1,2210.36,-259.057,-1016.68,2330.85
